,State_Name,District_Name,Crop_Year,Season,Crop,Area,production
46,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Arecanut,795.67,749.095
51,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Dry chillies,17.0,11.054166666666665
623,Andhra Pradesh,ANANTAPUR,2007,Kharif     ,Moong(Green Gram),1000.0,937.6
630,Andhra Pradesh,ANANTAPUR,2007,Rabi       ,Horse-gram,1000.0,830.8
698,Andhra Pradesh,ANANTAPUR,2009,Rabi       ,Rapeseed &Mustard,8.0,3.633333333333333
723,Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Other Kharif pulses,1.0,15.225238095238097
1153,Andhra Pradesh,CHITTOOR,2001,Rabi       ,Wheat,4.0,3.2166666666666672
1317,Andhra Pradesh,CHITTOOR,2004,Rabi       ,Wheat,2.0,2.0
1419,Andhra Pradesh,CHITTOOR,2007,Kharif     ,Moong(Green Gram),1000.0,937.6
1423,Andhra Pradesh,CHITTOOR,2007,Kharif     ,Small millets,1000.0,809.0
1424,Andhra Pradesh,CHITTOOR,2007,Kharif     ,Sunflower,1000.0,805.625
1536,Andhra Pradesh,CHITTOOR,2010,Rabi       ,Linseed,18.0,6.45
1610,Andhra Pradesh,CHITTOOR,2012,Kharif     ,Jowar,41.0,99.15
2043,Andhra Pradesh,EAST GODAVARI,2003,Rabi       ,other oilseeds,2070.0,25426.1
2210,Andhra Pradesh,EAST GODAVARI,2007,Kharif     ,Sesamum,1000.0,215.5
2212,Andhra Pradesh,EAST GODAVARI,2007,Kharif     ,Urad,1000.0,936.1
2219,Andhra Pradesh,EAST GODAVARI,2007,Rabi       ,Sesamum,1000.0,548.8
2315,Andhra Pradesh,EAST GODAVARI,2010,Kharif     ,Niger seed,1.0,15.225238095238097
2350,Andhra Pradesh,EAST GODAVARI,2011,Kharif     ,Mesta,32.0,276.02
2352,Andhra Pradesh,EAST GODAVARI,2011,Kharif     ,Niger seed,1.0,15.225238095238097
2489,Andhra Pradesh,EAST GODAVARI,2013,Whole Year ,Sannhamp,175.0,373.1
2501,Andhra Pradesh,EAST GODAVARI,2014,Kharif     ,Horse-gram,1.0,15.225238095238097
2661,Andhra Pradesh,GUNTUR,2000,Whole Year ,Tobacco,2345.0,3926.4
2780,Andhra Pradesh,GUNTUR,2003,Rabi       ,other oilseeds,13.0,4.4
3180,Andhra Pradesh,GUNTUR,2013,Whole Year ,Sannhamp,2594.0,7202.3
3285,Andhra Pradesh,KADAPA,1998,Rabi       ,Wheat,100.0,114.5
3446,Andhra Pradesh,KADAPA,2002,Rabi       ,Safflower,1.0,0.42023809523809524
3499,Andhra Pradesh,KADAPA,2003,Rabi       ,other oilseeds,4.0,2.1
